future_horizon_6,future_horizon_12,future_horizon_18,future_horizon_24,future_horizon_30,future_horizon_36,future_horizon_42,future_horizon_48,future_horizon_54,future_horizon_60,future_horizon_66,future_horizon_72
5.7759056,14.976267,37.148262,62.75497,94.272865,127.97561,157.19707,178.02335,188.884,208.22964,234.5158,260.43643
13.832604,47.723774,87.258705,135.23569,192.31975,242.04683,283.71545,314.57,322.79074,322.57355,309.03586,297.3125
21.51396,42.823906,51.464397,67.272316,92.31187,138.22903,179.74782,257.6025,325.6481,380.77536,428.08173,463.46124
16.927784,41.734364,63.995255,83.571884,111.20912,133.09778,176.20892,236.0548,309.5653,407.2847,508.55093,564.7426
1.8820157,4.13778,11.702669,29.632303,70.86847,130.66075,199.71411,279.59314,367.0239,443.51163,504.85168,537.2905
22.584723,34.332138,48.05745,66.99764,93.8534,128.76643,173.71835,202.54459,226.62004,277.42465,340.93582,400.9159
6.5378323,18.35482,17.227833,4.9366827,13.308204,22.226162,11.046855,30.640526,72.3806,130.75179,197.14767,278.35962
13.564271,47.638905,106.06558,173.59338,237.47668,332.19635,445.40018,563.3252,690.4044,817.07526,891.2792,947.3315
9.544491,38.09267,62.01977,71.73233,67.34937,88.03357,125.019966,173.13448,214.72368,248.05795,284.74127,325.15152
34.900635,47.763386,61.77746,52.6274,56.40553,75.67696,110.06079,108.20019,169.76822,165.78905,264.0426,494.51935
12.855418,42.832653,62.74039,84.43714,108.908325,134.4656,161.30489,200.77359,254.23633,317.46265,379.0866,434.1856
24.570719,62.223545,109.48215,152.66957,181.13983,209.87672,234.4366,240.90234,215.67024,196.7119,183.01836,185.98734
34.011066,97.60195,170.80975,241.4052,304.18192,400.56406,494.60547,594.3605,648.2175,704.6692,652.06006,616.8325
25.940195,62.965885,105.94492,136.70108,177.12447,206.26932,212.98853,227.09697,242.98198,269.01498,304.7244,331.4332
28.249292,115.70922,197.55086,289.3123,359.50748,410.0821,444.2074,469.92825,481.6445,475.83292,433.9365,387.87613
20.150108,53.462425,68.38573,80.89081,89.092186,98.28319,104.46965,115.91328,121.80178,137.79094,157.65163,166.77373
9.590122,26.702965,51.466682,83.504196,118.342514,158.00267,198.59164,241.31856,292.80753,352.4505,417.05774,485.33987
13.270613,30.895214,71.02871,112.53059,157.77519,200.11516,237.64766,271.9542,324.67566,377.09067,452.3402,540.2785
7.671781,54.756855,111.18773,152.38422,169.36072,217.52657,311.86868,436.79837,618.6053,823.13916,908.8687,980.1454
32.84413,81.08317,138.71532,209.17104,267.2254,324.31445,368.98157,405.24008,410.28333,430.36526,464.86032,571.27423
25.785568,52.966213,53.69634,58.699814,49.220757,40.211784,62.83024,85.143745,114.634895,135.4862,173.10684,213.6649
10.326832,27.177479,63.153767,114.025215,176.78601,250.15813,329.7613,423.53882,530.9318,662.7473,805.4975,943.4153
7.7975035,28.928255,53.251766,73.87435,105.86454,137.91684,163.55905,185.74077,195.61897,208.02466,216.41638,222.95987
13.420783,28.370436,45.889153,75.6185,108.996155,137.89465,178.34297,216.29349,251.36142,295.01456,318.73315,348.6553
31.03083,50.879204,111.03783,206.94775,342.3042,496.5268,592.4849,647.771,702.7129,740.85815,774.1835,799.2869
70.47442,118.729294,194.87488,283.81262,370.1419,434.56674,493.9656,535.9563,556.19025,550.3512,546.5292,541.9532
17.305397,46.811356,40.779015,54.895767,72.36493,89.887634,109.095856,124.1581,135.95525,156.50111,179.68785,215.40385
