future_horizon_6,future_horizon_12,future_horizon_18,future_horizon_24,future_horizon_30,future_horizon_36,future_horizon_42,future_horizon_48,future_horizon_54,future_horizon_60,future_horizon_66,future_horizon_72
29.973734,140.96867,185.32278,292.1424,156.71475,104.25285,41.533176,97.175224,122.04717,64.24863,186.25493,176.67972
21.042492,39.518036,25.69076,26.824173,49.181652,79.441635,52.24754,154.62029,52.417294,375.41766,69.84207,93.60427
40.577038,69.181076,48.234756,58.9809,102.44048,79.22287,50.04022,121.13559,65.23427,88.62555,86.443665,175.98436
17.583033,9.657467,39.05864,51.650997,36.637985,42.013596,54.14717,65.29588,77.31084,122.69101,29.02944,165.62668
34.77118,60.477047,115.85749,86.830055,138.36288,168.30014,257.43292,232.90942,335.75037,300.58167,565.51465,341.4633
17.162796,64.295334,113.35908,66.10026,90.26662,83.45821,118.90011,62.20024,223.80603,138.63025,87.460884,65.38031
25.943016,88.381714,112.56427,207.99078,90.63751,104.730705,179.66962,241.80391,272.30765,218.95497,325.09766,401.2122
25.322056,50.502808,59.45986,61.56023,75.345024,80.85715,90.35315,66.70493,252.00688,185.29727,157.18065,257.8695
30.7576,95.217224,9.465186,21.798094,103.71255,140.52557,120.4838,263.3408,191.5199,132.17801,317.05188,364.7502
44.84462,33.795517,65.65704,72.10689,83.014404,37.97049,52.682842,28.537476,140.32437,75.63339,155.30942,168.63522
22.05021,109.29627,149.31873,120.503,197.66907,282.60953,199.77582,226.28377,170.09459,182.98897,318.43228,306.53067
22.660387,24.516512,47.135403,64.60434,12.356781,122.00206,62.950134,162.3575,96.156525,192.49379,188.21866,141.23051
23.149933,42.543373,59.61315,24.896484,137.20288,86.703156,128.55072,202.98352,146.12091,87.845375,115.83878,204.1553
29.539648,30.05798,52.145645,89.982574,249.8064,212.09027,303.71442,227.70184,434.1776,398.15204,476.95724,487.8507
19.951292,67.06852,11.0922785,108.11386,62.430107,186.92165,336.62817,505.81503,497.24335,604.8127,698.027,580.8913
50.033062,8.499325,85.868164,49.10161,36.073753,78.40244,114.82997,181.29759,186.3203,195.17479,206.05373,281.85034
